Setup title,QSCV[2]
Application test name,QSCV[2]
Test date,12/10/2025
Test time,11:42:46
Device ID,MOSCAP_4_C
Count,2
Flags,
Remarks,
Name,IMeasSMU,MeasRange,LeakCompen,HoldTime,DelayTime,Integ_C,Integ_L,Gate,Vstart,Vstop,Vstep,QSCVMeasV,I_Comp,Subs,IOffsetCancel,IOffsetSink,OutputRange,SwpMode,StepDelay,VCompSinkSMU,Cmin,Cmax,IgMin,IgMax
Value,"Gate SMU",-11,1,1,0,1,0.1,"SMU3:HR	HRSMU",3.2,-3.2,-0.02,0.02,0.01,"SMU4:HR	HRSMU",Disable,"SMU5:HR	HRSMU",0,0,0,5,0,1E-10,-1E-09,1E-09
Name,Polarity,Lg,Wg,Temp
Value,1,0.0005,0.0005,25
V,F,A
3.18,1.76363E-10,-6.2E-14
3.16,1.79543E-10,-2.3E-14
3.14,1.80764E-10,0
3.12,1.78626E-10,-4.2E-14
3.1,1.79929E-10,-1.6E-14
3.08,1.79279E-10,-2.2E-14
3.06,1.7963E-10,-2.2E-14
3.04,1.80714E-10,1E-15
3.02,1.79027E-10,-3.4E-14
3,1.7881E-10,-4.4E-14
2.98,1.81445E-10,1E-15
2.96,1.82219E-10,8E-15
2.94,1.79534E-10,-2.9E-14
2.92,1.78107E-10,-5.2E-14
2.9,1.79545E-10,-3.6E-14
2.88,1.78204E-10,-4.6E-14
2.86,1.79269E-10,-3.5E-14
2.84,1.82163E-10,1E-14
2.82,1.77979E-10,-4.6E-14
2.8,1.78862E-10,-3.3E-14
2.78,1.79961E-10,-1.5E-14
2.76,1.79332E-10,-2.3E-14
2.74,1.80646E-10,4E-15
2.72,1.78088E-10,-6E-14
2.7,1.79596E-10,-1.2E-14
2.68,1.7872E-10,-4.7E-14
2.66,1.79968E-10,1E-15
2.64,1.79353E-10,-3.8E-14
2.62,1.78163E-10,-4.7E-14
2.6,1.80068E-10,-1.4E-14
2.58,1.79598E-10,-2.4E-14
2.56,1.79027E-10,-3E-14
