Setup title,CMUT-CV
Application test name,CMUT-CV
Test date,12/10/2025
Test time,12:47:18
Device ID,MOSCAP_4_C
Count,1
Flags,
Remarks,
Name,Plate,VplateStart,VplateStop,VplateStep,OscLevel,FREQ,IntegTime,HoldTime,DelayTime
Value,"CMU1:MF/SC	MFCMU/SCUU",-2,2,0.1,0.2,100000,MEDIUM,0,0
V,F,S,,ohm,F,ohm,ohm,ohm,rad
-2,1.60107E-10,1.28276E-05,0.12751322228298,77956.9054226823,1.62710279276657E-10,-9781.49283496243,1247.26967012394,9860.69387570836,-1.44396754516214
-1.9,1.59788E-10,1.27713E-05,0.127207019595341,78300.5645470704,1.62373629628816E-10,-9801.77282824568,1246.85430823173,9880.75889000897,-1.44426886033456
-1.8,1.59422E-10,1.27103E-05,0.126890082496859,78676.3491026962,1.61988868453995E-10,-9825.05431458928,1246.70195251436,9903.83552180833,-1.4445807629069
-1.7,1.59008E-10,1.2629E-05,0.126406707606413,79182.8331617705,1.61548734089981E-10,-9851.82236112652,1245.33642859324,9930.2198694477,-1.4450565069419
-1.6,1.58537E-10,1.25303E-05,0.125791404115435,79806.5489254048,1.61045606628531E-10,-9882.60073800357,1243.14622314571,9960.48241195727,-1.44566217963057
-1.5,1.57973E-10,1.2443E-05,0.125360976679113,80366.4711082536,1.60455604851772E-10,-9918.93946234923,1243.4479386211,9996.57555534944,-1.44608592486136
-1.4,1.57303E-10,1.23017E-05,0.124465290772208,81289.5778632221,1.59739876508709E-10,-9963.38212914913,1240.09525377917,10040.2599413508,-1.44696784978178
-1.3,1.56482E-10,1.21538E-05,0.123614048091842,82278.7934637726,1.58873112698813E-10,-10017.739338541,1238.33331236595,10093.986865826,-1.44780619378818
-1.2,1.55453E-10,1.1969E-05,0.122540286380281,83549.1686857716,1.57787301180024E-10,-10086.6762978822,1236.02420216768,10162.1254945313,-1.44886393278539
-1.1,1.54124E-10,1.17257E-05,0.121084523903682,85282.7549741167,1.56383683158342E-10,-10177.2090206359,1232.30250893196,10251.543928757,-1.45029840987649
-1,1.52342E-10,1.14192E-05,0.119298822790526,87571.8088832843,1.54510163201638E-10,-10300.6132278973,1228.85103210866,10373.6545021437,-1.45205868159579
