Setup title,QSCV[2]
Application test name,QSCV[2]
Test date,12/10/2025
Test time,11:39:24
Device ID,MOSCAP_4_C
Count,1
Flags,
Remarks,
Name,IMeasSMU,MeasRange,LeakCompen,HoldTime,DelayTime,Integ_C,Integ_L,Gate,Vstart,Vstop,Vstep,QSCVMeasV,I_Comp,Subs,IOffsetCancel,IOffsetSink,OutputRange,SwpMode,StepDelay,VCompSinkSMU,Cmin,Cmax,IgMin,IgMax
Value,"Gate SMU",-11,1,1,0,1,0.1,"SMU4:HR	HRSMU",3.2,-3.2,-0.2,0.1,0.01,"SMU3:HR	HRSMU",Disable,"SMU5:HR	HRSMU",0,0,0,5,0,1E-10,-1E-09,1E-09
Name,Polarity,Lg,Wg,Temp
Value,1,0.0005,0.0005,25
V,F,A
3,1.75273E-10,-9E-14
2.8,1.21808E-10,-1.189E-12
2.6,1.21953E-10,-1.178E-12
2.4,1.2145E-10,-1.185E-12
2.2,1.21156E-10,-1.226E-12
2,1.20847E-10,-1.201E-12
1.8,1.20523E-10,-1.19E-12
1.6,1.19804E-10,-1.163E-12
1.4,1.19532E-10,-1.129E-12
1.2,1.18088E-10,-1.122E-12
1,1.16546E-10,-1.099E-12
0.8,1.1328E-10,-1.005E-12
0.6,1.03219E-10,-9.32E-13
0.4,6.97749E-11,-5.52E-13
0.2,7.83874E-11,-3.64E-13
0,1.01564E-10,-6.42E-13
-0.2,1.11189E-10,-8.42E-13
-0.4,1.1504E-10,-1.003E-12
-0.6,1.17302E-10,-1.054E-12
-0.8,1.18677E-10,-1.09E-12
-1,1.19019E-10,-1.149E-12
-1.2,1.19643E-10,-1.174E-12
-1.4,1.20168E-10,-1.195E-12
-1.6,1.20682E-10,-1.196E-12
-1.8,1.20967E-10,-1.176E-12
-2,1.20955E-10,-1.244E-12
-2.2,1.21872E-10,-1.179E-12
-2.4,1.21664E-10,-1.228E-12
-2.6,1.21706E-10,-1.232E-12
-2.8,1.22089E-10,-1.21E-12
-3,1.22164E-10,-1.214E-12
