Setup title,CMUT-Cf
Application test name,"CMUT C-f"
Test date,12/10/2025
Test time,12:44:21
Device ID,MOSCAP_4_C
Count,1
Flags,
Remarks,
Name,Port1,Vbias,FreqStart,FreqStop,NoOfSteps,OscLevel,Single_Double,Linear_Log,OnAbnormalStatus,IntegTime,G_Min,G_Max,Cp_Min,Cp_Max,HoldTime,DelayTime,Range
Value,"CMU1:MF/SC	MFCMU/SCUU",0,1000,2000000,76,0.05,0,1,1,MEDIUM,0,0.001,0,1E-10,0,0,0
Hz,F,S,F,ohm,ohm,,ohm,ohm,rad,V,V
4132.304,1.24142507127174E-10,4.40244E-09,1.24142738718407E-10,423.747693851394,227146764.067199,0.00136584306474231,-310246.253606993,310246.542993282,-1.56943048457949,0.005352,0.049857792
4573.051,1.24155828468915E-10,5.72713E-09,1.24156148457985E-10,450.017985487115,174607525.933583,0.00160540279922969,-280314.688440211,280315.049670046,-1.56919092537488,0.005376,0.049870912
5060.807,1.24148105755922E-10,7.18611E-09,1.24148517140813E-10,461.118917297866,139157346.603378,0.00182034673705436,-253313.782430285,253314.202128095,-1.56897598206851,0.005408,0.049877632
5600.586,1.24155431542409E-10,9.34146E-09,1.2415599913552E-10,489.389500779488,107049647.485511,0.00213813782195804,-228885.853733844,228886.376924347,-1.56865819223119,0.005416,0.04987296
6197.938,1.24148517106359E-10,1.08541E-08,1.24149142843464E-10,464.359531940043,92131084.1064667,0.00224504570096532,-206837.451790126,206837.973043655,-1.56855128486577,0.005312,0.04987424
6859.002,1.24144764060579E-10,1.35971E-08,1.24145565891094E-10,475.01254123508,73545094.1744931,0.00254142376252058,-186908.042743711,186908.646346816,-1.5682549085039,0.005392,0.049876096
7590.575,1.24143403155945E-10,1.64544E-08,1.24144361963322E-10,469.377551410425,60774017.8918709,0.00277909798894401,-168895.646457136,168896.298678981,-1.5680172359606,0.005416,0.049837696
8400.176,1.24155496043961E-10,2.08755E-08,1.24156756046196E-10,486.143039913609,47903044.2384614,0.00318568391752672,-152602.408932973,152603.183280041,-1.56761065365403,0.005496,0.04987104
9296.129,1.24153000595232E-10,2.56514E-08,1.24154554058203E-10,487.783581666502,38984226.9817632,0.00353729958120107,-137897.164339379,137898.02705501,-1.56725904196706,0.005408,0.049895552
10287.64,1.24135298607814E-10,3.09898E-08,1.24137150224134E-10,481.316173604862,32268681.9534169,0.00386213858424726,-124624.262725329,124625.192176746,-1.56693420741318,0.005448,0.049837184
11384.91,1.24144772657611E-10,3.78283E-08,1.24147025268979E-10,479.65958687348,26435234.9960215,0.00425969904881589,-112604.102162291,112605.1237604,-1.56653665350993,0.00544,0.049875904
12599.21,1.24142323465995E-10,4.70947E-08,1.24145174338752E-10,487.613764465068,21233811.8726736,0.00479213431696769,-101752.941844421,101754.11019304,-1.56600422916049,0.005536,0.049867392
13943.02,1.24134513622214E-10,5.62824E-08,1.24137838527148E-10,475.885469962452,17767543.6726223,0.00517539310344828,-91951.5600941265,91952.7915330703,-1.56562097989781,0.005456,0.049869568
15430.17,1.24130204828586E-10,6.9629E-08,1.24134360121902E-10,480.750248672874,14361831.9952893,0.00578578254185882,-83091.6553110586,83093.0460576177,-1.56501060881197,0.00544,0.049886464
17075.93,1.24137822745067E-10,8.6423E-08,1.24143049427136E-10,487.163045068278,11570993.8326603,0.00648874907086922,-75078.1144019518,75079.6949246935,-1.56430766878886,0.005416,0.049863936
18897.23,1.24140523779756E-10,1.05236E-07,1.24146851671729E-10,484.349676250809,9502451.63252119,0.00713958126975943,-67840.0676384666,67841.7966433718,-1.56365686683153,0.005472,0.04988544
20912.79,1.2413418736892E-10,1.30306E-07,1.2414210971357E-10,489.745209653723,7674243.70328304,0.00798879290789708,-61304.0311972038,61305.9874025214,-1.56280770383091,0.005336,0.049884864
