Setup title,CMUT-Cf
Application test name,"CMUT C-f"
Test date,12/10/2025
Test time,12:45:37
Device ID,MOSCAP_4_C
Count,2
Flags,
Remarks,
Name,Port1,Vbias,FreqStart,FreqStop,NoOfSteps,OscLevel,Single_Double,Linear_Log,OnAbnormalStatus,IntegTime,G_Min,G_Max,Cp_Min,Cp_Max,HoldTime,DelayTime,Range
Value,"CMU1:MF/SC	MFCMU/SCUU",0,1000,2000000,76,0.2,0,1,1,MEDIUM,0,0.001,0,1E-10,0,0,0
Hz,F,S,F,ohm,ohm,,ohm,ohm,rad,V,V
1000,1.20949799002716E-10,-3.04172E-10,1.20949818379138E-10,-526.682787129682,-3287613587.04943,-0.00040025264820054,-1315875.83367043,1315875.93907352,1.57039607416807,0.00544,0.19936275
1106.659,1.20958355023199E-10,-2.65409E-10,1.20958367068234E-10,-375.194515290271,-3767769744.0554,-0.000315563006426376,-1188968.62955895,1188968.6887577,1.57048076379894,0.005408,0.19943725
1224.694,1.20960688531619E-10,-2.36826E-10,1.20960696362301E-10,-273.354315224049,-4222509352.85822,-0.000254435479538886,-1074356.12250088,1074356.15727639,1.57054189132085,0.00548,0.19946175
1355.318,1.20961082366434E-10,-2.11197E-10,1.20961087451395E-10,-199.04636408773,-4734915742.17437,-0.00020503169687497,-970807.768367203,970807.78877261,1.57059129510089,0.005472,0.1994825
1499.875,1.20963592917465E-10,-1.10288E-10,1.20963594049688E-10,-84.8689895996938,-9067169592.34005,-9.67472542896242E-05,-877223.75402643,877223.758131851,1.57069957954091,0.005488,0.1993175
1659.849,1.20950542347887E-10,-9.49038E-11,1.20950543032528E-10,-59.644590403606,-10536985874.1167,-7.52362832068875E-05,-792763.648884583,792763.651128302,1.57072109051183,0.005608,0.19947475
1836.887,1.20953934023656E-10,7.67141E-11,1.20953934388919E-10,39.3650292464834,13035413307.332,5.49531873437489E-05,-716337.50741778,716337.508499397,-1.57074137360761,0.005424,0.199504
2032.807,1.20958279748375E-10,1.77377E-10,1.20958281342811E-10,74.3145862815153,5637709511.37972,0.000114811578443176,-647274.319273436,647274.323539523,-1.57068151521696,0.005464,0.199513
2249.624,1.2095179699286E-10,3.91211E-10,1.20951803326162E-10,133.846424697367,2556165342.99905,0.000228827875037289,-584921.853054641,584921.868368538,-1.57056749892385,0.005504,0.1994095
2489.566,1.20949435778508E-10,6.78201E-10,1.20949451320475E-10,189.471394453413,1474489126.37994,0.000358468556085288,-528557.920177337,528557.954137104,-1.57043785825417,0.005448,0.19941825
2755.1,1.20951633406265E-10,1.0861E-09,1.20951665951951E-10,247.748909264921,920725531.718995,0.000518729373331359,-477607.24956414,477607.313821454,-1.57027759746809,0.005464,0.1994455
3048.955,1.20948058020822E-10,1.40899E-09,1.20948102746317E-10,262.45097175526,709728245.054968,0.000608104375447774,-431588.691599212,431588.771397996,-1.57018822249441,0.005424,0.19944625
3374.153,1.20944724937835E-10,2.0604E-09,1.2094480303349E-10,313.392153319612,485342651.91225,0.000803563071355028,-390003.180199841,390003.306115001,-1.5699927638965,0.005408,0.19949875
3734.036,1.20942525078172E-10,2.736E-09,1.20942637522206E-10,339.813702953605,365497076.023392,0.000964225676737703,-352421.337817209,352421.50164572,-1.56983210141698,0.005472,0.199316
4132.304,1.20943466211207E-10,3.79128E-09,1.20943642508256E-10,384.482113117323,263763161.781773,0.00120734480189034,-318452.618104903,318452.850206059,-1.56958898257965,0.005312,0.1994145
4573.051,1.20945270900187E-10,4.86873E-09,1.20945508294693E-10,403.148667825504,205392371.316545,0.00140100887441154,-287755.970136047,287756.25254334,-1.56939531883713,0.005456,0.1994665
5060.807,1.20939726678388E-10,6.35882E-09,1.20940057340772E-10,429.969937022115,157261881.921489,0.00165351410948503,-260034.029679992,260034.385160428,-1.56914281419237,0.005296,0.1994965
5600.586,1.20942543129308E-10,8.50035E-09,1.20943025596562E-10,469.299622534407,117642214.732335,0.00199730492421127,-234966.437445565,234966.906112321,-1.56879902452658,0.005296,0.19940525
6197.938,1.20941248432135E-10,1.0864E-08,1.20941891935577E-10,489.761181169127,92047128.1296024,0.00230668458678625,-212322.561989925,212323.126851457,-1.56848964629923,0.005472,0.19941525
6859.002,1.20944031235294E-10,1.39195E-08,1.20944893779247E-10,512.353918484936,71841660.9792018,0.00267053575711065,-191854.35623572,191855.04036423,-1.5681257973863,0.005384,0.19942225
7590.575,1.2093999732627E-10,1.76009E-08,1.20941123461923E-10,529.031868019254,56815276.491543,0.00305147893807028,-173369.00524498,173369.812407903,-1.56774485732808,0.005488,0.19927425
8400.176,1.20960716969789E-10,2.28368E-08,1.20962264679961E-10,560.279173406919,43788972.1852449,0.00357703049203592,-156632.484585846,156633.486650485,-1.56721931155895,0.005456,0.1993985
9296.129,1.20962241652016E-10,2.8834E-08,1.20964256285008E-10,577.609048319866,34681279.0455712,0.00408106073044108,-141534.048736745,141535.22736064,-1.56671528872099,0.005408,0.1995045
10287.64,1.20876282904334E-10,2.8586E-08,1.20877900889102E-10,468.24605791731,34982159.0988596,0.00365861462575544,-127984.525787715,127985.382350787,-1.56713772849309,0.005408,0.19933325
