Setup title,CMUT-CV
Application test name,CMUT-CV
Test date,12/10/2025
Test time,12:39:32
Device ID,MOSCAP_4_C
Count,2
Flags,
Remarks,
Name,Plate,VplateStart,VplateStop,VplateStep,OscLevel,FREQ,IntegTime,HoldTime,DelayTime
Value,"CMU1:MF/SC	MFCMU/SCUU",-2,2,0.1,0.05,100000,MEDIUM,0,0
V,F,S,,ohm,F,ohm,ohm,ohm,rad
-2,1.63205E-10,1.02656E-05,0.10010851283996,97412.7182044888,1.64840593889354E-10,-9655.08187860359,966.555888215056,9703.34150525388,-1.47102023700303
-1.9,1.62863E-10,1.02485E-05,0.1001516264761,97575.2549153535,1.64496572612872E-10,-9675.27411446394,968.994439165668,9723.67622934608,-1.47097755133473
-1.8,1.6246E-10,1.02005E-05,0.0999298286968662,98034.4100779374,1.64082320793974E-10,-9699.70087708444,969.289447057891,9748.01103492863,-1.47119715132408
-1.7,1.62033E-10,1.01437E-05,0.0996352592522305,98583.3571576446,1.63641531548675E-10,-9725.82825311647,969.035419441927,9773.98408292399,-1.47148881678319
-1.6,1.61535E-10,1.00922E-05,0.0994350151157601,99086.4231782961,1.63132148596596E-10,-9756.19731984922,970.107627971545,9804.3100192559,-1.47168709651345
-1.5,1.60927E-10,1.00145E-05,0.0990422475777333,99855.2099455789,1.62505591971868E-10,-9793.81331809721,970.001283381085,9841.7316463872,-1.47207603367451
-1.4,1.60245E-10,9.91122E-06,0.0984379952617338,100895.752490612,1.61797780285317E-10,-9836.65800675873,968.300894260612,9884.2019082856,-1.47267445163038
-1.3,1.59397E-10,9.82113E-06,0.0980621584000013,101821.277185008,1.60929791344904E-10,-9889.71288422511,969.806591383416,9937.14978034943,-1.47304669519191
-1.2,1.58367E-10,9.70812E-06,0.0975642202055782,103006.555337182,1.59874460167346E-10,-9954.99487068435,971.25131170885,10002.2623433825,-1.47353991453987
-1.1,1.57058E-10,9.5515E-06,0.0967902583085626,104695.597550123,1.58529374958778E-10,-10039.4607077282,971.721995179674,10086.3776916162,-1.47430663593113
-1,1.55375E-10,9.33809E-06,0.095652658570386,107088.280365685,1.56796592855855E-10,-10150.4082578024,970.913535433603,10196.7377574081,-1.47543379962926
-0.9,1.53078E-10,9.05651E-06,0.0941603844877477,110417.809951074,1.54435216796937E-10,-10305.6120483972,970.380392858649,10351.1969259074,-1.47691275215531
-0.8,1.49786E-10,8.63084E-06,0.0917068917679623,115863.577589203,1.51045723326706E-10,-10536.8718548681,966.303766767275,10581.0874420156,-1.47934523516529
-0.7,1.44653E-10,7.95581E-06,0.0875340634345815,125694.30391123,1.45761361990244E-10,-10918.8704687452,955.773100245122,10960.6219956893,-1.48348480932746
-0.6,1.35588E-10,6.78203E-06,0.0796083428251615,147448.477815639,1.36447287356484E-10,-11664.2071949826,928.568205161886,11701.10970802,-1.49135551968861
-0.5,1.17895E-10,4.6392E-06,0.0626278987227709,215554.405932057,1.18357414099776E-10,-13446.9770484987,842.155916720804,13473.3224681561,-1.50825011675169
-0.4,8.96348E-11,1.99077E-06,0.035347977131553,502318.198486013,8.97467968439476E-11,-17733.7742057441,626.853045080767,17744.8497407119,-1.53546306082692
-0.3,7.7121E-11,1.17506E-06,0.0242497643222481,851020.37342774,7.71663510865451E-11,-20624.9149857348,500.149327570472,20630.9783461341,-1.54655131416284
-0.2,8.87687E-11,1.38597E-06,0.0248492967089898,721516.338737491,8.88235135668073E-11,-17918.1093722699,445.252416255666,17923.640623233,-1.5459521429022
-0.1,1.07274E-10,1.76566E-06,0.02619586449836,566360.454447629,1.07347613920088E-10,-14826.1276874225,388.383231935102,14831.2138322729,-1.54460645190161
0,1.24019E-10,2.23417E-06,0.0286713486810658,447593.513474803,1.24120949352042E-10,-12822.5689476904,367.640345286239,12827.8382372775,-1.54213283063253
0.1,1.36698E-10,2.65225E-06,0.0308796542608953,377038.363653502,1.36828348794456E-10,-11631.7228479471,359.183580003164,11637.2672589229,-1.53992648205175
0.2,1.45754E-10,2.99254E-06,0.03267680704477,334164.288530813,1.45909632290587E-10,-10907.7749421621,356.43125707281,10913.5969061478,-1.53813114278316
0.3,1.52161E-10,3.23711E-06,0.0338590084076955,308917.522110772,1.52335442308078E-10,-10447.6634380374,353.747524189279,10453.6504927883,-1.53695024851625
0.4,1.56697E-10,3.44269E-06,0.0349669190241789,290470.533216758,1.56888591138205E-10,-10144.4561352287,354.720376224878,10150.6559800285,-1.53584364850577
0.5,1.60024E-10,3.60191E-06,0.035823487793848,277630.479384549,1.60229362364169E-10,-9932.94491993348,355.832731096202,9939.31646115324,-1.53498815157218
0.6,1.62505E-10,3.70482E-06,0.0362844476333568,269918.646519939,1.62718947768065E-10,-9780.97174760436,354.897157179293,9787.40825344528,-1.53452779015933
0.7,1.64457E-10,3.78689E-06,0.0366480151313364,264068.932554154,1.64677878416338E-10,-9664.62190444066,354.189209792587,9671.10989246465,-1.53416470549025
0.8,1.65971E-10,3.86185E-06,0.0370325247771955,258943.252586196,1.66198613939139E-10,-9576.18955536037,354.630476980004,9582.75373655173,-1.53378071700038
0.9,1.6722E-10,3.93592E-06,0.0374608972380344,254070.204678957,1.67454662973395E-10,-9504.36018119258,356.041860060921,9511.02666697738,-1.53335293801132
1,1.68232E-10,3.9795E-06,0.0376478372743805,251287.850232441,1.68470445248881E-10,-9447.0542211019,355.661160038293,9453.74678723727,-1.53316626125144
1.1,1.69079E-10,4.0181E-06,0.0378225845218925,248873.84584754,1.6932087560837E-10,-9399.60548397189,355.517372889971,9406.32637413464,-1.53299176248122
1.2,1.69774E-10,4.03646E-06,0.0378398672112852,247741.833190469,1.70017091844242E-10,-9361.11430712756,354.223322331369,9367.81379155199,-1.53297450449149
1.3,1.70423E-10,4.06352E-06,0.0379484749331335,246092.0581171,1.70668423904153E-10,-9325.38892966615,353.884288039157,9332.10119849013,-1.53286605250336
1.4,1.70946E-10,4.10499E-06,0.0382184695660012,243605.952755062,1.71195692516954E-10,-9296.66750091705,355.304403949031,9303.45461869261,-1.53259644889195
1.5,1.71387E-10,4.1336E-06,0.0383858094700779,241919.876137023,1.71639533666076E-10,-9272.62733080894,355.937306007469,9279.45628697462,-1.53242935412528
1.6,1.718E-10,4.14419E-06,0.0383916369972158,241301.677770566,1.7205321907655E-10,-9250.33219059531,355.135395564995,9257.1467950739,-1.5324235351735
