Setup title,QSCV[2]
Application test name,QSCV[2]
Test date,12/10/2025
Test time,12:15:34
Device ID,MOSCAP_4_C
Count,11
Flags,
Remarks,
Name,IMeasSMU,MeasRange,LeakCompen,HoldTime,DelayTime,Integ_C,Integ_L,Gate,Vstart,Vstop,Vstep,QSCVMeasV,I_Comp,Subs,IOffsetCancel,IOffsetSink,OutputRange,SwpMode,StepDelay,VCompSinkSMU,Cmin,Cmax,IgMin,IgMax
Value,"Gate SMU",-11,1,1,1,1,0.5,"SMU3:HR	HRSMU",2,-2,-0.1,0.1,0.01,"SMU4:HR	HRSMU",Disable,"SMU5:HR	HRSMU",0,0,0,5,0,2.2E-10,-1E-09,1E-09
Name,Polarity,Lg,Wg,Temp
Value,1,0.0005,0.0005,25
V,F,A
1.9,1.77698E-10,-3.8E-14
1.8,1.77291E-10,-2.7E-14
1.7,1.76983E-10,-3.9E-14
1.6,1.76727E-10,-3.3E-14
1.5,1.76277E-10,-2.8E-14
1.4,1.75757E-10,-3.4E-14
1.3,1.75291E-10,-2.9E-14
1.2,1.74825E-10,-3.6E-14
1.1,1.73968E-10,-4.1E-14
1,1.73122E-10,-3.3E-14
0.9,1.72169E-10,-3.4E-14
0.8,1.70819E-10,-3.4E-14
0.7,1.69254E-10,-4.9E-14
0.6,1.67453E-10,-4.1E-14
0.5,1.64847E-10,-4.4E-14
0.4,1.61638E-10,-3.4E-14
0.3,1.57072E-10,-4.5E-14
0.2,1.50738E-10,-5.1E-14
0.1,1.41728E-10,-6.1E-14
0,1.29297E-10,-3.5E-14
-0.1,1.12323E-10,-5.3E-14
-0.2,9.38748E-11,-4.5E-14
-0.3,8.19692E-11,-5.2E-14
-0.4,9.50605E-11,-4.8E-14
-0.5,1.26417E-10,-5.2E-14
-0.6,1.46466E-10,-6.9E-14
-0.7,1.56799E-10,-5.7E-14
-0.8,1.62743E-10,-5.7E-14
-0.9,1.66424E-10,-5.7E-14
-1,1.69052E-10,-5.7E-14
-1.1,1.71005E-10,-4.7E-14
-1.2,1.72441E-10,-4.7E-14
-1.3,1.73452E-10,-6.2E-14
-1.4,1.74396E-10,-6.9E-14
-1.5,1.75075E-10,-6.6E-14
-1.6,1.76027E-10,-5.4E-14
-1.7,1.76443E-10,-7.1E-14
-1.8,1.76718E-10,-7.5E-14
-1.9,1.77261E-10,-7.1E-14
