Setup title,QSCV[2]
Application test name,QSCV[2]
Test date,12/10/2025
Test time,11:29:47
Device ID,MOSCAP_4_C
Count,1
Flags,
Remarks,
Name,IMeasSMU,MeasRange,LeakCompen,HoldTime,DelayTime,Integ_C,Integ_L,Gate,Vstart,Vstop,Vstep,QSCVMeasV,I_Comp,Subs,IOffsetCancel,IOffsetSink,OutputRange,SwpMode,StepDelay,VCompSinkSMU,Cmin,Cmax,IgMin,IgMax
Value,"Gate SMU",-11,1,1,0,1,0.1,"SMU4:HR	HRSMU",3.2,-3.2,-0.2,0.1,0.01,"SMU3:HR	HRSMU",Disable,"SMU5:HR	HRSMU",0,0,0,5,0,1E-10,-1E-09,1E-09
Name,Polarity,Lg,Wg,Temp
Value,1,0.0005,0.0005,25
V,F,A
3,0,1.000035E-09
2.8,3.22581E-12,1.000036E-09
2.6,6.66667E-11,1.000036E-09
2.4,0,1.000035E-09
2.2,-3.50876E-12,1.000036E-09
2,-6.3291E-13,1.000036E-09
1.8,-7.5327E-13,1.000034E-09
1.6,0,1.000035E-09
1.4,3.30644E-13,1.000036E-09
1.2,2.4737E-12,1.000036E-09
1,-3.409E-15,1.000034E-09
0.8,0,1.000034E-09
0.6,0,1.000034E-09
0.4,1.27153E-12,1.000035E-09
0.2,-5.55555E-13,1.000035E-09
0,9.62952E-11,-9.92042E-10
-0.2,-3.63635E-12,-9.99989E-10
-0.4,3.5238E-14,-9.99988E-10
-0.6,-3.27868E-12,-9.99989E-10
-0.8,0,-9.99988E-10
-1,-3.78056E-12,-9.99989E-10
-1.2,3.45466E-12,-9.99989E-10
-1.4,-1.56249E-12,-9.99988E-10
-1.6,1.3358E-11,-9.99988E-10
-1.8,-3.6999E-14,-9.99987E-10
-2,1.14339E-10,-9.99991E-10
-2.2,-3.63635E-12,-9.99988E-10
-2.4,4.44444E-11,-9.99989E-10
-2.6,0,-9.99988E-10
-2.8,-3.99259E-12,-9.99988E-10
-3,7.708E-15,-9.99987E-10
