Setup title,QSCV[2]
Application test name,QSCV[2]
Test date,12/10/2025
Test time,11:46:07
Device ID,MOSCAP_4_C
Count,4
Flags,
Remarks,
Name,IMeasSMU,MeasRange,LeakCompen,HoldTime,DelayTime,Integ_C,Integ_L,Gate,Vstart,Vstop,Vstep,QSCVMeasV,I_Comp,Subs,IOffsetCancel,IOffsetSink,OutputRange,SwpMode,StepDelay,VCompSinkSMU,Cmin,Cmax,IgMin,IgMax
Value,"Gate SMU",-11,1,1,0,1,0.1,"SMU3:HR	HRSMU",3.2,-3.2,-0.2,0.1,0.01,"SMU4:HR	HRSMU",Disable,"SMU5:HR	HRSMU",0,0,0,5,0,1E-10,-1E-09,1E-09
Name,Polarity,Lg,Wg,Temp
Value,1,0.0005,0.0005,25
V,F,A
3,1.79744E-10,1.1E-14
2.8,1.23323E-10,-1.204E-12
2.6,1.22994E-10,-1.208E-12
2.4,1.23131E-10,-1.191E-12
2.2,1.22559E-10,-1.223E-12
2,1.22679E-10,-1.204E-12
1.8,1.22646E-10,-1.161E-12
1.6,1.22037E-10,-1.177E-12
1.4,1.22014E-10,-1.128E-12
1.2,1.21342E-10,-1.128E-12
1,1.20551E-10,-1.106E-12
0.8,1.19458E-10,-1.098E-12
0.6,1.17746E-10,-1.063E-12
0.4,1.14851E-10,-9.85E-13
0.2,1.09082E-10,-8.59E-13
0,9.61203E-11,-7.3E-13
-0.2,7.44587E-11,-4.7E-13
-0.4,8.26607E-11,-3.06E-13
-0.6,1.15181E-10,-7.23E-13
-0.8,1.17931E-10,-9.9E-13
-1,1.20087E-10,-1.063E-12
-1.2,1.20907E-10,-1.13E-12
-1.4,1.22347E-10,-1.11E-12
-1.6,1.22018E-10,-1.212E-12
-1.8,1.22999E-10,-1.148E-12
-2,1.23243E-10,-1.181E-12
-2.2,1.23675E-10,-1.182E-12
-2.4,1.23684E-10,-1.213E-12
-2.6,1.23536E-10,-1.236E-12
-2.8,1.23579E-10,-1.256E-12
-3,1.23963E-10,-1.231E-12
