Setup title,QSCV[2]
Application test name,QSCV[2]
Test date,12/10/2025
Test time,11:33:38
Device ID,MOSCAP_4_C
Count,2
Flags,
Remarks,
Name,IMeasSMU,MeasRange,LeakCompen,HoldTime,DelayTime,Integ_C,Integ_L,Gate,Vstart,Vstop,Vstep,QSCVMeasV,I_Comp,Subs,IOffsetCancel,IOffsetSink,OutputRange,SwpMode,StepDelay,VCompSinkSMU,Cmin,Cmax,IgMin,IgMax
Value,"Gate SMU",-11,1,1,0,1,0.1,"SMU4:HR	HRSMU",3.2,-3.2,-0.2,0.1,0.01,"SMU3:HR	HRSMU",Disable,"SMU5:HR	HRSMU",0,0,0,5,0,1E-10,-1E-09,1E-09
Name,Polarity,Lg,Wg,Temp
Value,1,0.0005,0.0005,25
V,F,A
3,1.43309E-13,1.000035E-09
2.8,-3.2919E-12,1.000029E-09
2.6,3.89E-16,1.000034E-09
2.4,4.63179E-13,1.000035E-09
2.2,4.36E-16,1.000034E-09
2,0,1.000034E-09
1.8,5E-16,1.000034E-09
1.6,2.17391E-13,1.000035E-09
1.4,2.91E-16,1.000034E-09
1.2,0,1.000034E-09
1,8.45E-16,1.000034E-09
0.8,4.22722E-13,1.000035E-09
0.6,-1.01196E-12,1.000036E-09
0.4,0,1.000034E-09
0.2,-2.35293E-12,1.000034E-09
0,6.66559E-11,-9.94565E-10
-0.2,-5.26315E-12,-9.9999E-10
-0.4,-5.00307E-11,-9.99992E-10
-0.6,-2.19779E-12,-9.9999E-10
-0.8,2.044E-15,-9.99989E-10
-1,4.353E-15,-9.99989E-10
-1.2,0,-9.99989E-10
-1.4,-7.5332E-12,-9.9999E-10
-1.6,6.66667E-11,-9.9999E-10
-1.8,-4.82818E-12,-9.9999E-10
-2,-2.44353E-12,-9.99989E-10
-2.2,-6.166E-15,-9.99988E-10
-2.4,2.08719E-12,-9.99989E-10
-2.6,1.25231E-11,-9.99987E-10
-2.8,2.82211E-12,-9.99989E-10
-3,1.33292E-10,-9.99982E-10
