Setup title,CMUT-CV
Application test name,CMUT-CV
Test date,12/10/2025
Test time,12:47:54
Device ID,MOSCAP_4_C
Count,2
Flags,#
Remarks,
Name,Plate,VplateStart,VplateStop,VplateStep,OscLevel,FREQ,IntegTime,HoldTime,DelayTime
Value,"CMU1:MF/SC	MFCMU/SCUU",-2,2,0.1,0.2,1000000,MEDIUM,0,0
V,F,S,,ohm,F,ohm,ohm,ohm,rad
0.3,1.34058E-10,0.000329052,0.390653689703618,3039.03334427385,1.54516632305099E-10,-1030.0181975082,402.380409318448,1105.82434455085,-1.19837298880626
0.4,1.37509E-10,0.00034696,0.401576617204532,2882.17661978326,1.59684221053263E-10,-996.685471126476,400.245579911875,1074.04769567911,-1.18893153627255
0.5,1.39765E-10,0.000361426,0.411567520208535,2766.81810384422,1.63439489178117E-10,-973.785123119711,400.778328338343,1053.03406140302,-1.18035789438618
0.6,1.41476E-10,0.000371514,0.417938657637036,2691.68860392879,1.66187997953647E-10,-957.680127636697,400.251546990147,1037.95593728166,-1.17492187012243
0.7,1.42765E-10,0.000379415,0.422973226863914,2635.63644030942,1.68306565149644E-10,-945.62528176146,399.974176830743,1026.73585485161,-1.17064362615784
0.8,1.43616E-10,0.00038634,0.428141159161503,2588.39364290521,1.69941509648982E-10,-936.527770176185,400.966085110169,1018.7531917593,-1.16626810059881
0.9,1.44334E-10,0.00039168,0.431899677901598,2553.1045751634,1.71257679243908E-10,-929.330257157486,401.377438730528,1012.30359832922,-1.16309613533918
1,1.4498E-10,0.000395677,0.434363018470049,2527.31394546562,1.72333555188454E-10,-923.528461522733,401.146610190015,1006.88798885948,-1.16102192310645
1.1,1.45273E-10,0.000400382,0.438641553661281,2497.61477788712,1.73224456777405E-10,-918.778710886369,403.014521214106,1003.28212576894,-1.15742813045932
1.2,1.45937E-10,0.000401981,0.438389600848581,2487.67976595909,1.73983966868444E-10,-914.767871756132,401.024722168276,998.809835247624,-1.15763944780921
1.3,1.46459E-10,0.000403565,0.438548430679555,2477.91557741628,1.74626687052777E-10,-911.401033702453,399.693493049935,995.191806949976,-1.15750622981431
1.4,1.46716E-10,0.000405993,0.44041408442654,2463.09665437581,1.7517370523023E-10,-908.554984795,400.140411779659,992.766090040871,-1.15594258457301
1.5,1.47068E-10,0.000407332,0.440809022217779,2454.99985270001,1.7564516458448E-10,-906.116279764632,399.424231298659,990.245640739216,-1.15561185427983
1.6,1.47128E-10,0.000409917,0.443425566903764,2439.51824393719,1.7605722446531E-10,-903.995525178208,400.854728230612,988.884433433483,-1.15342313412516
1.7,1.4734E-10,0.000411339,0.444323572258,2431.08482298056,1.76428369187558E-10,-902.093828928049,400.821552581207,987.132814368805,-1.15267293624963
1.8,1.47519E-10,0.000412627,0.445174023028871,2423.49628114496,1.76754302258312E-10,-900.430377413634,400.848213570633,985.623739005929,-1.15196292648482
1.9,1.47816E-10,0.000413057,0.444742540244125,2420.97337655578,1.77053402760627E-10,-898.909259073151,399.783187329158,983.801023031844,-1.15232309939875
2,1.48123E-10,0.000413186,0.443959373739287,2420.21752915152,1.77318032269425E-10,-897.567726502333,398.483605746572,982.047355124669,-1.15297712917034
2,1.48161E-10,0.000412912,0.443551176503785,2421.82353624985,1.77309846395363E-10,-897.609164564129,398.135600982999,981.944076350383,-1.15331816922495
1.9,1.48098E-10,0.000411358,0.442069839433432,2430.9725348723,1.77040161677439E-10,-898.976489763435,397.410392484152,982.900681250041,-1.15455666127658
1.8,1.4775E-10,0.000411236,0.44297964248633,2431.69372331216,1.76743124880369E-10,-900.48732135783,398.897551678564,984.884090977894,-1.15379584707634
1.7,1.47633E-10,0.000409647,0.441617693691669,2441.12614031105,1.764253011217E-10,-902.109516492471,398.387524130711,986.161345383846,-1.15493495439608
1.6,1.47301E-10,0.000408935,0.441843752950086,2445.37640456307,1.76057970593598E-10,-903.991694072856,399.423082744857,988.301463108356,-1.15474580341777
1.5,1.46944E-10,0.000407987,0.441890432867279,2451.05848960874,1.75637336774305E-10,-906.156663582588,400.421960316079,990.685442135141,-1.15470674878251
1.4,1.46735E-10,0.000405773,0.440118436114383,2464.43208394841,1.75158191334723E-10,-908.635456207664,399.907215984196,992.745774946406,-1.15619023057525
1.3,1.46355E-10,0.000403968,0.439298309254641,2475.44359949303,1.74599027625645E-10,-911.545414978929,400.440359609064,995.624188724311,-1.15687748188092
1.2,1.46123E-10,0.00040084,0.436588814827039,2494.76100189602,1.73975474816451E-10,-914.812523201034,399.396915293273,998.198301216358,-1.15915093908148
1.1,1.45681E-10,0.000397959,0.434765974958461,2512.82167258436,1.7321783429181E-10,-918.813837747311,399.468993973535,1001.89537656492,-1.16068297560236
1,1.45151E-10,0.000394612,0.432683553013034,2534.13479569805,1.72325452745572E-10,-923.571884223733,399.614364328867,1006.3183718419,-1.16243568296507
0.9,1.44654E-10,0.000389719,0.428786658280075,2565.95136495783,1.71249794888836E-10,-929.373043601299,398.502761661384,1011.2065591285,-1.16572272268528
0.8,1.43847E-10,0.000384893,0.425852631695373,2598.12467361059,1.6993372018377E-10,-936.570698975,398.841096927279,1017.95819893386,-1.16820371435295
0.7,1.42882E-10,0.000378606,0.42172573441207,2641.26823135397,1.68293934488134E-10,-945.696252072333,398.824446435947,1026.35390594989,-1.17170227732947
0.6,1.41501E-10,0.000371335,0.41766348501455,2692.98611765656,1.66184828762888E-10,-957.698390862242,399.995647520351,1037.87413779097,-1.17515614776894
