Setup title,QSCV[2]
Application test name,QSCV[2]
Test date,12/10/2025
Test time,12:27:42
Device ID,MOSCAP_4_C
Count,13
Flags,
Remarks,
Name,IMeasSMU,MeasRange,LeakCompen,HoldTime,DelayTime,Integ_C,Integ_L,Gate,Vstart,Vstop,Vstep,QSCVMeasV,I_Comp,Subs,IOffsetCancel,IOffsetSink,OutputRange,SwpMode,StepDelay,VCompSinkSMU,Cmin,Cmax,IgMin,IgMax
Value,"Gate SMU",-11,1,1,1,1,0.5,"SMU3:HR	HRSMU",2,-2,-0.1,0.1,0.01,"SMU4:HR	HRSMU",Disable,"SMU5:HR	HRSMU",0,0,0,5,0,2.2E-10,-1E-09,1E-09
Name,Polarity,Lg,Wg,Temp
Value,1,0.0005,0.0005,25
V,F,A
1.9,1.77631E-10,-3.3E-14
1.8,1.77377E-10,-2.1E-14
1.7,1.77052E-10,-1.7E-14
1.6,1.76683E-10,-2.6E-14
1.5,1.76194E-10,-3.7E-14
1.4,1.75779E-10,-2.7E-14
1.3,1.75157E-10,-3E-14
1.2,1.74608E-10,-4.2E-14
1.1,1.73948E-10,-2.7E-14
1,1.73049E-10,-3.4E-14
0.9,1.72092E-10,-3.9E-14
0.8,1.70845E-10,-2.9E-14
0.7,1.69241E-10,-3.2E-14
0.6,1.67456E-10,-3.3E-14
0.5,1.64754E-10,-4.8E-14
0.4,1.61603E-10,-3.5E-14
0.3,1.56993E-10,-4.7E-14
0.2,1.50755E-10,-3.5E-14
0.1,1.41758E-10,-3.7E-14
0,1.29142E-10,-4.4E-14
-0.1,1.12465E-10,-3.2E-14
-0.2,9.37651E-11,-5.4E-14
-0.3,8.19179E-11,-5.1E-14
-0.4,9.4937E-11,-5.2E-14
-0.5,1.2647E-10,-5.2E-14
-0.6,1.46384E-10,-6.4E-14
-0.7,1.56756E-10,-5.6E-14
-0.8,1.62754E-10,-5.2E-14
-0.9,1.66367E-10,-6.6E-14
-1,1.68956E-10,-6.7E-14
-1.1,1.70743E-10,-7.2E-14
-1.2,1.72358E-10,-5.2E-14
-1.3,1.73575E-10,-5.5E-14
-1.4,1.74321E-10,-7E-14
-1.5,1.75266E-10,-6E-14
-1.6,1.75693E-10,-8E-14
-1.7,1.76402E-10,-7E-14
-1.8,1.76961E-10,-7E-14
-1.9,1.77188E-10,-8.1E-14
