Meta Data
Label,Value,
Date,4/10/2026
Profile,HillsAndValleys
ScanDuration,20 s
ScanLength,503.24 µm
ScanResolution,0.0838454 µm
ScanType,Standard Scan
StylusForce,3 mg
StylusScanRange,524 µm
StylusType,Radius: 5 μm
Time,12:19:34 PM


Analytical Results
Label,Value,R.Cur Pos,R.Cur Width,M.Cur Pos,M.Cur Width
Total_ASH,1.813 µm,49.037 µm,-27.477 µm,386.717 µm,22.74 µm


Data Leveling Position
R Cursor Position,49.0372181078079 µm
R Cursor Width,-27.477116144389 µm
M Cursor Position,455.274036509986 µm
M Cursor Width,22.7398 µm


Data
Lateral(µm),Total Profile(µm),,
0,0.00783322988666719,,
0.0838453848483378,0.0097114576342619,,
0.167690769696676,0.0116642273388499,,
0.251536154545013,0.0100071012759032,,
0.335381539393351,0.0107853049139651,,
0.419226924241689,0.0123724686019912,,
0.503072309090027,0.00964224785994303,,
0.586917693938365,0.0100531167088753,,
0.670763078786702,0.0107912555497231,,
0.75460846363504,0.0105862195141855,,
0.838453848483378,0.0113217843185306,,
0.922299233331716,0.0130535194433577,,
1.00614461818005,0.0116810573487949,,
1.08999000302839,0.011064974981934,,
1.17383538787673,0.0103074003128543,,
1.25768077272507,0.00946427329512548,,
1.34152615757341,0.009600875940818,,
1.42537154242174,0.0097897681980492,,
1.50921692727008,0.0100206560805473,,
1.59306231211842,0.0102715741142949,,
1.67690769696676,0.00951937046331695,,
1.76075308181509,0.00972088033445788,,
1.84459846666343,0.00991378473586356,,
1.92844385151177,0.0100681047055732,,
2.01228923636011,0.00916928976923461,,
2.09613462120845,0.00919784793742674,,
2.17998000605678,0.00922252020471787,,
2.26382539090512,0.00824569320049936,,
2.34767077575346,0.00923865540422951,,
2.4315161606018,0.00926175950707005,,
2.51536154545013,0.00922138031074452,,
2.59920693029847,0.00910605595953214,,
2.68305231514681,0.00793011724214085,,
2.76689769999515,0.0077081754979548,,
2.85074308484349,0.00754173469771495,,
2.93458846969182,0.00844747999689933,,
3.01843385454016,0.00943887004034179,,
3.1022792393885,0.00845918373606523,,
3.18612462423684,0.00841460991614115,,
3.26997000908517,0.00834836309291096,,
3.35381539393351,0.0092038514994646,,
3.43766077878185,0.00892250951025269,,
3.52150616363019,0.00836429417824277,,
3.60535154847853,0.00748452705171169,,
3.68919693332686,0.00528893277420439,,
3.7730423181752,0.00381826648927746,,
3.85688770302354,0.00323383819818586,,
3.94073308787188,0.00167278169940186,,
4.02457847272022,0.00219140350879378,,
4.10842385756855,0.00194144799423306,,
4.19226924241689,0.00190668830067757,,
4.27611462726523,0.00311143038372185,,
4.35996001211357,0.00356905364030442,,
4.4438053969619,0.00418753887186921,,
4.52765078181024,0.0059259027253567,,
4.61149616665858,0.00576472833207995,,
4.69534155150692,0.00560069290350599,,
4.77918693635526,0.00647377305128519,,
4.86303232120359,0.0064374492388697,,
4.94687770605193,0.00843648397300969,,
5.03072309090027,0.00850157960531121,,
5.11456847574861,0.00848707989231711,,
5.19841386059694,0.00937820432197263,,
5.28225924544528,0.0091813391179006,,
5.36610463029362,0.0088368233987616,,
5.44995001514196,0.00838229679113833,,
5.5337953999903,0.00888021099902059,,
5.61764078483863,0.00843782257808607,,
5.70148616968697,0.00809786107819395,,
5.78533155453531,0.00896227332549426,,
5.86917693938365,0.0101086746004972,,
5.95302232423198,0.0114863901742527,,
6.03686770908032,0.0129834474204977,,
6.12071309392866,0.014442880626868,,
6.204558478777,0.0147000383661835,,
6.28840386362534,0.0126117199347867,,
6.37224924847367,0.0121108049689397,,
6.45609463332201,0.0103360373884677,,
6.53994001817035,0.0102857509514809,,
6.62378540301869,0.0100663840494884,,
6.70763078786702,0.0086666351752184,,
6.79147617271536,0.00708861786506124,,
6.8753215575637,0.00642264736472577,,
6.95916694241204,0.0057827619970153,,
7.04301232726038,0.00521337904173977,,
7.12685771210871,0.00574658619356616,,
7.21070309695705,0.00542343857614369,,
7.29454848180539,0.00619270745030267,,
7.37839386665373,0.00608989463311205,,
7.46223925150207,0.00507279570604228,,
7.5460846363504,0.0061347079685309,,
7.62993002119874,0.00733541121796623,,
7.71377540604708,0.00757124644808622,,
7.79762079089542,0.00771510523582681,,
7.88146617574375,0.00772069207834998,,
7.96531156059209,0.00757170901278098,,
8.04915694544043,0.00629979630638109,,
8.13300233028877,0.00496462366211312,,
8.21684771513711,0.00570200159593113,,
8.30069309998544,0.00665771911082304,,
8.38453848483378,0.00780468456781165,,
8.46838386968212,0.00808598105875724,,
8.55222925453046,0.00840148685172843,,
8.63607463937879,0.0086954177017427,,
8.71992002422713,0.00989050872107928,,
8.80376540907547,0.00893781245842754,,
8.88761079392381,0.00971523574852102,,
8.97145617877215,0.00733168784032509,,
9.05530156362048,0.00576467534792598,,
9.13914694846882,0.00622655854808614,,
9.22299233331716,0.00686950751390884,,
9.3068377181655,0.0076714320268064,,
9.39068310301383,0.00857808718045915,,
9.47452848786217,0.0085232424669394,,
9.55837387271051,0.0084280131346342,,
9.64221925755885,0.00829118230656758,,
9.72606464240719,0.00811669048837669,,
9.80991002725552,0.00790573592845981,,
9.89375541210386,0.00864285961960811,,
9.9776007969522,0.00931128351429723,,
10.0614461818005,0.00783199877462258,,
10.1452915666489,0.00710671724698036,,
10.2291369514972,0.00719805861755806,,
10.3129823363456,0.00613340390827857,,
10.3968277211939,0.0048856220784906,,
10.4806731060422,0.00452692539044893,,
10.5645184908906,0.00417538038226229,,
10.6483638757389,0.00291309345858466,,
10.7322092605872,0.0028185539063117,,
10.8160546454356,0.0040331445678687,,
10.8999000302839,0.00460709247141794,,
10.9837454151323,0.0064556344823245,,
11.0675907999806,0.00853538764862973,,
11.1514361848289,0.00872491962359421,,
11.2352815696773,0.0088853009727607,,
11.3191269545256,0.00903366975905253,,
11.4029723393739,0.00919486057933466,,
11.4868177242223,0.0103815816383794,,
11.5706631090706,0.011602768769257,,
11.654508493919,0.0117911829575887,,
11.7383538787673,0.011867749988895,,
11.8221992636156,0.0118297524081587,,
11.906044648464,0.0106837373141979,,
11.9898900333123,0.0124014732273247,,
12.0737354181606,0.0110634841915027,,
