"Run Time"	"F_7037AV"	"Av_Si_288"	"Av_SiF_440"	"Av_SIF_777"
0.10	2724.25	340.75	157.8	491
0.20	2748.75	338.5	155.8	489
0.30	2756	344.5	161.4	491.4
0.40	2785.75	353	156.2	494.4
0.50	2846	368.25	163.6	504
0.60	2880.5	369	162.8	512.6
0.70	2905.5	376.25	168	509.6
0.80	2917	378.5	172	515.8
0.90	2919	376.75	163.2	511
1.00	2922.25	376.75	165.2	509.8
1.10	2927.75	385.75	168.6	518
1.20	2944	393.25	182.6	523
1.30	2935	389.25	174	517.2
1.40	2936	386.75	167	513.8
1.50	2939.25	382.25	168.6	504.2
1.60	2953.25	395.75	179	522
1.70	2946	398.75	179.2	520.4
1.80	2934.5	390	171.4	514.6
1.90	2921.25	386.75	170.6	510.6
2.00	2921.75	386	172.8	517.8
2.10	2925.5	391.75	171.8	512.8
2.20	2903.25	379.25	165.2	501
2.30	2907.75	382.5	167.2	511
2.40	2911.5	387.75	170.4	508.8
2.50	2907.75	390	176.8	513.8
2.60	2917.5	395.5	178.4	517.4
2.70	2894.25	387	173.2	507.6
2.80	2898	380.75	172.4	507.8
2.90	2880.5	375	164.2	502
3.00	2897.25	392.75	182.6	515.4
3.10	2882	385.75	174.8	508.6
3.20	2878.75	383.75	173.2	505.4
3.30	2866.75	367.5	165.6	494.2
3.40	2860	382	174.2	507.8
3.50	2862	373.5	167	493.4
3.60	2853.25	374	170	493.2
3.70	2844.5	369.75	163.4	489.2
3.80	2843.5	367.75	163.6	495.2
3.90	2845.25	372.25	171.6	497
4.00	2826	372.75	162.6	489.4
4.10	2836.25	369.5	176.4	497.6
4.20	2836	378.5	170.6	499.6
4.30	2816.75	379.25	171.4	490
4.40	2816.75	374.25	169.6	497.4
4.50	2812.25	366	168.6	486.6
4.60	2817.75	360.75	173	493.8
4.70	2796	359.75	161	480.2
4.80	2814.5	377	171.6	493.4
4.90	2800.25	370.75	171.4	491.4
5.00	2804.25	354	159.8	479.2
5.10	2790.5	359.75	165.8	487.2
5.20	2784	366	167.4	483.8
5.30	2793.75	364.5	167.4	488
5.40	2776.75	357.5	164.4	479.8
5.50	2774.25	364.5	170	489.6
5.60	2773.5	360	165.8	483.4
5.70	2765.5	359	162.8	485.6
5.80	2766	362.75	168.8	484.6
5.90	2750.75	345.75	169	479.2
6.00	2744.25	349.75	159.4	477
6.10	2758.5	358.25	171.6	479.8
6.20	2749.25	360.5	169.8	482.6
6.30	2743	349.5	163.8	475.2
6.40	2734.75	348	161.4	472.2
6.50	2730.5	344.5	157.4	471.2
6.60	2739.25	358.5	171.8	480.8
6.70	2731.75	358	170.2	480.2
6.80	2728.25	355	166.2	475.8
6.90	2727	348	164	474.2
7.00	2721	356.75	167.2	480.6
7.10	2725.5	353.25	178.8	483.2
7.20	2704.5	342.75	157.4	465.2
7.30	2695.5	340	157.6	468.8
7.40	2690.25	345.5	160.8	464
7.50	2688	342.5	154.8	464.2
7.60	2678.25	341.5	162	466.4
7.70	2679	339.75	159.4	461.8
7.80	2692.75	352.25	167.4	479.6
7.90	2682.25	346	164.8	472
8.00	2674	343.25	164.8	465.4
8.10	2669.25	342	157.8	465.8
8.20	2672.5	336.75	161.4	465
8.30	2660.5	336.75	158.4	460.4
8.40	2661	344.5	161	462.6
8.50	2657	341.75	162.8	462.2
8.60	2656.25	334.5	170	468.8
8.70	2634.5	327.5	153.2	456.2
8.80	2634.75	328.5	167.2	463.6
8.90	2635.5	336.5	156.4	458.4
9.00	2630.75	331	154.8	459.8
9.10	2630.25	338	163.4	459.4
9.20	2622.75	329.5	162.6	454.2
9.30	2622.75	336.5	163.2	458.8
9.40	2613.75	335	163.4	457.4
9.50	2613.25	332	164	456
9.60	2599.5	328.75	162.2	456.4
9.70	2596	331.5	167	456.4
9.80	2597.5	334.75	161.4	456.6
9.90	2579	330.75	158.4	448
10.00	2584.25	322.75	161	453.4
10.10	2570	324.75	153.4	447
10.20	2569.75	326.25	160.4	448
10.30	2563	320	153.4	446.8
10.40	2559.5	320.5	166.4	450.2
10.50	2539.5	327.25	155.6	439.6
10.60	2539.75	330.5	157.8	440.2
10.70	2531.5	320	154.2	438.8
10.80	2536.25	319	160.2	439.4
10.90	2528	315.5	155.8	442.6
11.00	2517	316	153.6	436
11.10	2498.75	318	158.8	439.8
11.20	2509.25	318.5	160.2	440.2
11.30	2498	314	163.8	435.6
11.40	2484.25	321.5	153.4	432.4
11.50	2476.75	314	153.8	431.2
11.60	2483.25	316	154.8	433.6
11.70	2473.5	308.25	162.6	436.4
11.80	2450.25	306.5	152.8	424.8
11.90	2429.75	309.5	148.8	424.4
12.00	2440.5	307.5	158.2	425.4
12.10	2419.75	309	151.2	423
12.20	2409.75	307.5	155.6	426.2
12.30	2395.5	297.25	146.6	416
12.40	2397.75	298.25	159	420.6
12.50	2377.5	301	154.2	419.6
12.60	2367.25	291.5	148.4	404
12.70	2359.25	290.25	152.2	412.6
12.80	2339	293.5	152	412.2
12.90	2330.5	293.5	153.6	410.6
13.00	2323.75	293.25	159.8	415
13.10	2301.25	293.25	150	408.6
13.20	2288.75	286.25	148.4	405.8
13.30	2272.5	293	157.4	405.8
13.40	2260.5	292.5	154.6	400.2
13.50	2234.5	281	149.4	392.2
13.60	2226.75	280.5	151	393
13.70	2197	277.75	142	388.4
13.80	2188.5	275	156.6	389.4
13.90	2167.75	274.75	144.4	382.4
14.00	2159.25	279.25	154	388.2
14.10	2135.25	271.5	142.8	377.6
14.20	2122	266.25	146.6	373.8
14.30	2101	255.5	139	361.8
14.40	2093.5	270.25	147.2	375.2
14.50	2059.75	254.5	143.2	362.2
14.60	2040.75	258	139	364.4
14.70	2019	260.25	148.4	364.4
14.80	1999.25	253.75	139.4	354.6
14.90	1979.75	250.5	146	353
15.00	1962.5	247	140.6	349.6
15.10	1949.25	245.75	144.2	347.4
15.20	1916.25	242	136	338.8
15.30	1893.75	237.25	135	335
15.40	1879	240	139.2	341.6
15.50	1859.25	233.75	134.8	332.2
15.60	1853.5	239	142.4	334.2
15.70	1823.5	228	139.6	328.4
15.80	1821.75	242.5	144.4	333.6
15.90	1794.25	234.5	135.6	323.4
16.00	1766	226.75	133.8	319
16.10	1752	224	132.2	314.8
16.20	1740.5	221	132.6	314.6
16.30	1724.25	223	131.6	311.2
16.40	1710	223.75	130.4	309
16.50	1694.25	216.25	137.6	309.4
16.60	1672.5	216.5	130	303
16.70	1665.5	213.75	142.6	310.2
16.80	1640.5	211	130.2	298
16.90	1626.25	216.25	135.4	297.8
17.00	1624.5	216	135.2	299
17.10	1616.75	211.5	132	294.8
17.20	1601.75	206	135.4	291.6
17.30	1597.5	209.5	133	294.6
17.40	1585.5	211.75	135.2	291.2
17.50	1589.75	210	135.4	294.8
17.60	1568.5	203	127	288.2
17.70	1569.75	212.25	135.4	290.4
17.80	1561.75	211	145	295.8
17.90	1550.5	203.75	130.2	287
18.00	1550	214.5	138.8	295
18.10	1542.75	209.5	143	290
18.20	1530	206.25	133.4	283.2
18.30	1532.75	210.5	137.2	286.8
18.40	1519.5	207.5	130.4	286.6
18.50	1512.5	205.5	133.8	280.4
18.60	1499.75	209	133	282.6
18.70	1500	205.25	132	282.2
18.80	1488	198.25	126.6	273
18.90	1487	205	137	280
19.00	1478.25	200	130.8	276.4
19.10	1472.25	205.75	130.2	275
19.20	1481.25	209.5	134.4	282.6
19.30	1454.75	197.25	125.2	268.2
19.40	1470.5	212.25	142.4	285.8
19.50	1453	200.25	128.6	271.8
19.60	1450	207.5	132.8	271.2
19.70	1451.25	199	134	270.8
19.80	1437.25	199.25	133	262.8
19.90	1439	198	137.6	278.6
20.00	1432.75	202.5	133.2	266.4
20.10	1427.5	187.75	130.8	262.2
20.20	1429.5	197	126	266.4
20.30	1430	195.75	131	266
20.40	1415.75	191.5	128.6	266
20.50	1418.75	197.5	130	264.8
20.60	1418.25	189.5	133	270.8
20.70	1425.25	198.25	135	265.6
20.80	1419.75	196.75	134.6	269.8
20.90	1409.5	196	133.6	266.2
21.00	1412.75	190	127.2	259.8
21.10	1399.75	187.25	122.4	261.4
21.20	1398	181.25	136.2	262.4
21.30	1405.75	195	128.6	269.2
21.40	1403.25	195.5	128.8	258.8
21.50	1404.25	186.25	126	260.4
21.60	1403.75	192.25	133.6	265.8
21.70	1398.75	188.75	129.2	260.6
21.80	1392	188	129.4	260.6
21.90	1400.25	193.5	127	255.6
22.00	1390.25	190.5	125	260.8
22.10	1398	195.75	129.8	262.8
22.20	1389.25	189.75	126	256.4
22.30	1397	190	138.4	266
22.40	1389.75	185.5	123.4	253
22.50	1392	189.25	125.6	259.6
22.60	1383.75	179.75	129.6	258.2
22.70	1384.75	189	127.8	258.6
22.80	1389.5	185.75	132.4	257.2
22.90	1392.25	189.25	127.6	262.4
23.00	1387.75	190.5	129.6	260.4
23.10	1387.25	189.25	123.2	255.8
23.20	1396.25	191.25	122	255
23.30	1388.75	195.25	128.6	261.2
23.40	1395.75	194	128	266.4
23.50	1390.75	184.75	126.8	257.8
23.60	1389.25	188.25	123.6	258.4
23.70	1397.25	188.75	131.6	261.6
23.80	1393.25	194.25	126.4	259.4
23.90	1392.25	183.25	128	256
24.00	1395.5	192.75	124.4	258.2
24.10	1406.75	195.75	130.4	262
24.20	1395	190	125.6	258.2
24.30	1409	196.75	136	271.4
24.40	1391	184.75	126.2	256.6
